"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","PPP","TOT","NATUSD","A","2005",0.946363,
"LUX","PPP","TOT","NATUSD","A","2006",0.916691,
"LUX","PPP","TOT","NATUSD","A","2007",0.921418,
"LUX","PPP","TOT","NATUSD","A","2008",0.900045,
"LUX","PPP","TOT","NATUSD","A","2009",0.903005,
"LUX","PPP","TOT","NATUSD","A","2010",0.925638,
"LUX","PPP","TOT","NATUSD","A","2011",0.905099,
"LUX","PPP","TOT","NATUSD","A","2012",0.90679,
"LUX","PPP","TOT","NATUSD","A","2013",0.895254,
"LUX","PPP","TOT","NATUSD","A","2014",0.884138,
"LUX","PPP","TOT","NATUSD","A","2015",0.881261,
"LUX","PPP","TOT","NATUSD","A","2016",0.851894,
"LUX","PPP","TOT","NATUSD","A","2017",0.84831,
"LUX","PPP","TOT","NATUSD","A","2018",0.848866,
"LUX","PPP","TOT","NATUSD","A","2019",0.861888,
"LUX","PPP","TOT","NATUSD","A","2020",0.864437,
"LUX","PPP","TOT","NATUSD","A","2021",0.851323,
"MEX","PPP","TOT","NATUSD","A","2000",6.103205,
"MEX","PPP","TOT","NATUSD","A","2001",6.329336,
"MEX","PPP","TOT","NATUSD","A","2002",6.553697,
"MEX","PPP","TOT","NATUSD","A","2003",6.64469,
"MEX","PPP","TOT","NATUSD","A","2004",6.986186,
"MEX","PPP","TOT","NATUSD","A","2005",7.126862,
"MEX","PPP","TOT","NATUSD","A","2006",7.155423,
"MEX","PPP","TOT","NATUSD","A","2007",7.370463,
"MEX","PPP","TOT","NATUSD","A","2008",7.469532,
"MEX","PPP","TOT","NATUSD","A","2009",7.434067,
"MEX","PPP","TOT","NATUSD","A","2010",7.679662,
"MEX","PPP","TOT","NATUSD","A","2011",7.673013,
"MEX","PPP","TOT","NATUSD","A","2012",7.858708,
"MEX","PPP","TOT","NATUSD","A","2013",7.884359,
"MEX","PPP","TOT","NATUSD","A","2014",8.045318,
"MEX","PPP","TOT","NATUSD","A","2015",8.327595,
"MEX","PPP","TOT","NATUSD","A","2016",8.446043,
"MEX","PPP","TOT","NATUSD","A","2017",8.913552,
"MEX","PPP","TOT","NATUSD","A","2018",9.276363,
"MEX","PPP","TOT","NATUSD","A","2019",9.650165,
"MEX","PPP","TOT","NATUSD","A","2020",9.702813,
"MEX","PPP","TOT","NATUSD","A","2021",10.043314,
"NLD","PPP","TOT","NATUSD","A","2000",0.89055,
"NLD","PPP","TOT","NATUSD","A","2001",0.905085,
"NLD","PPP","TOT","NATUSD","A","2002",0.900863,
"NLD","PPP","TOT","NATUSD","A","2003",0.925503,
"NLD","PPP","TOT","NATUSD","A","2004",0.907793,
"NLD","PPP","TOT","NATUSD","A","2005",0.897139,
"NLD","PPP","TOT","NATUSD","A","2006",0.871916,
"NLD","PPP","TOT","NATUSD","A","2007",0.8602,
"NLD","PPP","TOT","NATUSD","A","2008",0.847775,
"NLD","PPP","TOT","NATUSD","A","2009",0.848344,
"NLD","PPP","TOT","NATUSD","A","2010",0.854046,
"NLD","PPP","TOT","NATUSD","A","2011",0.836065,
"NLD","PPP","TOT","NATUSD","A","2012",0.824408,
"NLD","PPP","TOT","NATUSD","A","2013",0.798166,
"NLD","PPP","TOT","NATUSD","A","2014",0.808798,
"NLD","PPP","TOT","NATUSD","A","2015",0.809978,
"NLD","PPP","TOT","NATUSD","A","2016",0.795448,
"NLD","PPP","TOT","NATUSD","A","2017",0.78215,
"NLD","PPP","TOT","NATUSD","A","2018",0.776747,
"NLD","PPP","TOT","NATUSD","A","2019",0.794447,
"NLD","PPP","TOT","NATUSD","A","2020",0.774008,
"NLD","PPP","TOT","NATUSD","A","2021",0.769839,
"NZL","PPP","TOT","NATUSD","A","2000",1.443958,
"NZL","PPP","TOT","NATUSD","A","2001",1.473589,
"NZL","PPP","TOT","NATUSD","A","2002",1.468962,
"NZL","PPP","TOT","NATUSD","A","2003",1.496707,
"NZL","PPP","TOT","NATUSD","A","2004",1.507009,
"NZL","PPP","TOT","NATUSD","A","2005",1.535,
"NZL","PPP","TOT","NATUSD","A","2006",1.480932,
"NZL","PPP","TOT","NATUSD","A","2007",1.504794,
"NZL","PPP","TOT","NATUSD","A","2008",1.490709,
"NZL","PPP","TOT","NATUSD","A","2009",1.471921,
"NZL","PPP","TOT","NATUSD","A","2010",1.496928,
"NZL","PPP","TOT","NATUSD","A","2011",1.485915,
"NZL","PPP","TOT","NATUSD","A","2012",1.495622,
"NZL","PPP","TOT","NATUSD","A","2013",1.445979,
"NZL","PPP","TOT","NATUSD","A","2014",1.44073,
"NZL","PPP","TOT","NATUSD","A","2015",1.478014,
"NZL","PPP","TOT","NATUSD","A","2016",1.441008,
"NZL","PPP","TOT","NATUSD","A","2017",1.430959,
"NZL","PPP","TOT","NATUSD","A","2018",1.47006,
"NZL","PPP","TOT","NATUSD","A","2019",1.428259,
"NZL","PPP","TOT","NATUSD","A","2020",1.436351,
"NZL","PPP","TOT","NATUSD","A","2021",1.486354,
"NOR","PPP","TOT","NATUSD","A","2000",9.086557,
"NOR","PPP","TOT","NATUSD","A","2001",9.177039,
"NOR","PPP","TOT","NATUSD","A","2002",9.05673,
"NOR","PPP","TOT","NATUSD","A","2003",9.197485,
"NOR","PPP","TOT","NATUSD","A","2004",9.125651,
"NOR","PPP","TOT","NATUSD","A","2005",9.005204,
"NOR","PPP","TOT","NATUSD","A","2006",8.780118,
"NOR","PPP","TOT","NATUSD","A","2007",8.922942,
"NOR","PPP","TOT","NATUSD","A","2008",8.859281,
"NOR","PPP","TOT","NATUSD","A","2009",9.083913,
"NOR","PPP","TOT","NATUSD","A","2010",9.151227,
"NOR","PPP","TOT","NATUSD","A","2011",9.082736,
"NOR","PPP","TOT","NATUSD","A","2012",9.037085,
"NOR","PPP","TOT","NATUSD","A","2013",9.029349,
"NOR","PPP","TOT","NATUSD","A","2014",9.278458,
"NOR","PPP","TOT","NATUSD","A","2015",9.932516,
"NOR","PPP","TOT","NATUSD","A","2016",10.0419,
"NOR","PPP","TOT","NATUSD","A","2017",9.74983,
"NOR","PPP","TOT","NATUSD","A","2018",9.583999,
"NOR","PPP","TOT","NATUSD","A","2019",9.975182,
"NOR","PPP","TOT","NATUSD","A","2020",10.119987,
"NOR","PPP","TOT","NATUSD","A","2021",9.674744,
"POL","PPP","TOT","NATUSD","A","2000",1.833166,
